window_index,train_start,train_end,val_start,val_end,test_start,test_end,train_size,val_size,test_size,val_loss,hidden_size,dropout,lr,acc,precision,recall,f1,total_pnl,num_trades,avg_pnl_per_trade
52,2021-12-17 06:57:00,2022-08-17 06:48:00,2022-08-17 07:27:00,2022-09-17 06:42:00,2022-10-17 06:57:00,2022-11-17 06:51:00,45236,5437,5121,0.44720718264579773,32,0.2,0.001,0.7964829206466675,0.763304591178894,0.7278878688812256,0.7451756596565247,2.8846993324947463,1973,0.0014620878522527859
53,2022-01-17 06:57:00,2022-09-17 06:42:00,2022-09-17 07:12:00,2022-10-17 06:54:00,2022-11-17 07:03:00,2022-12-17 06:42:00,44875,5240,4544,0.4581572711467743,32,0.2,0.001,0.8262711763381958,0.7353509068489075,0.756291389465332,0.745674192905426,1.36708709326185,1553,0.0008802878900591436
54,2022-02-17 06:57:00,2022-10-17 06:54:00,2022-10-17 06:57:00,2022-11-17 06:51:00,2022-12-17 07:06:00,2023-01-17 06:54:00,44283,5121,4533,0.46344393491744995,32,0.2,0.001,0.8122065663337708,0.64786696434021,0.7173739075660706,0.6808510422706604,1.1516117793630294,1383,0.0008326910913687848
55,2022-03-17 07:00:00,2022-11-17 06:51:00,2022-11-17 07:03:00,2022-12-17 06:42:00,2023-01-17 06:57:00,2023-02-17 06:54:00,44130,4544,5008,0.41323617100715637,32,0.2,0.001,0.815683126449585,0.7969749569892883,0.7087428569793701,0.7502738237380981,2.3078727629658276,1719,0.0013425670523361417
56,2022-04-17 06:57:00,2022-12-17 06:42:00,2022-12-17 07:06:00,2023-01-17 06:54:00,2023-02-17 06:57:00,2023-03-17 06:36:00,43039,4533,4680,0.4207794666290283,32,0.2,0.001,0.8064935207366943,0.7970634698867798,0.7498766779899597,0.7727503776550293,2.7575850613351376,1907,0.0014460330683456412
57,2022-05-17 07:00:00,2023-01-17 06:54:00,2023-01-17 06:57:00,2023-02-17 06:54:00,2023-03-17 07:12:00,2023-04-17 06:24:00,42036,5008,5467,0.4284628927707672,32,0.2,0.001,0.7884224057197571,0.8291409611701965,0.6902410387992859,0.7533419728279114,2.472965085101917,2107,0.001173690121073525
58,2022-06-17 06:57:00,2023-02-17 06:54:00,2023-02-17 06:57:00,2023-03-17 06:36:00,2023-04-17 07:03:00,2023-05-17 06:51:00,41069,4680,5161,0.4326930344104767,32,0.2,0.001,0.7892569899559021,0.8296145796775818,0.6888421177864075,0.7527030110359192,2.081304767601144,1972,0.0010554283811364826
59,2022-07-17 07:03:00,2023-03-17 06:36:00,2023-03-17 07:12:00,2023-04-17 06:24:00,2023-05-17 07:06:00,2023-06-17 06:27:00,40161,5467,5249,0.46119073033332825,32,0.2,0.001,0.8063210844993591,0.8518117666244507,0.6830008625984192,0.7581227421760559,1.6003754535224064,1849,0.0008655356698336433
60,2022-08-17 07:27:00,2023-04-17 06:24:00,2023-04-17 07:03:00,2023-05-17 06:51:00,2023-06-17 07:09:00,2023-07-17 06:39:00,40030,5161,5212,0.46069973707199097,32,0.2,0.001,0.8047360181808472,0.8250460624694824,0.7411083579063416,0.7808278799057007,2.073189032801576,2172,0.0009545069211793628
61,2022-09-17 07:12:00,2023-05-17 06:51:00,2023-05-17 07:06:00,2023-06-17 06:27:00,2023-07-17 06:57:00,2023-08-17 06:48:00,39754,5249,4770,0.4384438097476959,32,0.2,0.001,0.8178343772888184,0.8272472023963928,0.6581005454063416,0.7330429553985596,0.8386162430088897,1424,0.0005889159009893889
